Project,Project ID,Ship ID,Payout amount,elo,global elo max,global elo min,elo percentile,project vote count
visittallinn-waffles,65,260,19.0,1024,1430,750,0.40294117647058825,167
Space Tourism Website,84,722,349.0,1179,1394,809,0.6324786324786325,69
Paint 2D,86,1,3.0,1123,1430,750,0.5485294117647059,374
Swirl,87,3,3.0,902,1430,750,0.2235294117647059,369
TextPlus,136,28,8.0,1083,1430,750,0.48970588235294116,351
Filatrack,138,466,513.0,1404,1430,752,0.9616519174041298,135
Time Logger Tool,142,877,127.0,1167,1420,809,0.5859247135842881,76
ConvoRoom,152,14,4.0,1233,1394,813,0.7228915662650602,66
ConvoRoom,152,653,37.0,1233,1394,813,0.7228915662650602,66
PyNumberWizard,158,46,12.0,1014,1430,750,0.38823529411764707,326
planets!,161,18,9.0,1003,1430,750,0.3720588235294118,387
Rift Runner Vector Gun,169,102,37.0,874,1430,750,0.18235294117647058,239
Rock Paper Scissors ,170,5,2.0,1088,1430,750,0.4970588235294118,340
Rock Paper Scissors ,170,69,2.0,1088,1430,750,0.4970588235294118,340
Traffic Dodger,183,1176,218.0,1119,1340,913,0.48243559718969553,27
1Bot,209,86,171.0,1141,1430,752,0.5737463126843658,138
1Bot,209,175,63.0,1141,1430,752,0.5737463126843658,138
1Bot,209,417,75.0,1141,1430,752,0.5737463126843658,138
Summer of Making Monitor,239,10,83.0,1251,1430,754,0.735207100591716,129
Summer of Making Monitor,239,320,19.0,1251,1430,754,0.735207100591716,129
Summer of Making Monitor,239,759,12.0,1251,1430,754,0.735207100591716,129
DNA-cryption,247,792,379.0,1297,1399,809,0.8271186440677966,72
Better Status Page,273,277,120.0,1060,1430,750,0.45588235294117646,146
Portfolio,278,613,22.0,931,1430,750,0.2661764705882353,153
Tic Tac Tkinter,332,91,19.0,1076,1430,750,0.47941176470588237,291
TurretFall,344,874,297.0,1346,1346,860,1.0,40
👑 Queenie von Floof: A Royal Virtual Pet,355,152,40.0,1159,1430,750,0.6014705882352941,236
SaifURLs,379,594,157.0,1053,1394,813,0.41308089500860584,64
Thinkboard,398,250,89.0,1150,1430,750,0.5882352941176471,146
Anubis,408,96,35.0,1139,1430,750,0.5720588235294117,253
Anubis,408,111,101.0,1139,1430,750,0.5720588235294117,253
Timer Bot,419,113,164.0,1157,1430,750,0.5985294117647059,242
PlanIt,422,12,16.0,1158,1430,750,0.6,380
Fridgelet,461,209,309.0,1147,1430,750,0.5838235294117647,185
CompassCAD,475,59,34.0,1298,1430,750,0.8058823529411765,345
CompassCAD,475,61,4.0,1298,1430,750,0.8058823529411765,345
Emotions!,492,16,14.0,1093,1430,750,0.5044117647058823,363
College Bank Clicker,509,933,1225.0,1237,1328,922,0.7758620689655172,20
FleshMaker,511,89,145.0,1126,1430,750,0.5529411764705883,272
Getabot [DiscordBot],524,84,28.0,1031,1340,905,0.2896551724137931,29
Video Transcoder,531,569,336.0,1215,1430,750,0.6838235294117647,148
game review website,554,160,30.0,1056,1430,750,0.45,210
Personal Website,594,205,67.0,1106,1430,750,0.5235294117647059,203
Bluesky life sim,634,77,82.0,1184,1430,750,0.638235294117647,278
DataShadow,653,463,502.0,1284,1430,750,0.7852941176470588,151
Dimensity,664,130,99.0,1347,1430,750,0.8779411764705882,242
Project Lowlight ,713,142,126.0,1110,1430,750,0.5294117647058824,219
Ai compiler ,723,370,29.0,942,1407,809,0.22240802675585283,74
URL Shortener,775,939,447.0,1201,1394,809,0.67008547008547,71
simple eˣplanations,780,920,432.0,1194,1420,806,0.6319218241042345,80
Lambda Calculus Interpreter - Rust,792,391,430.0,1191,1430,750,0.6485294117647059,146
